time,precipitation_mm
2018-11-24,4.458261
2018-11-25,2.1555257
2018-11-26,1.4972032
2018-11-27,8.663411
2018-11-28,4.096885
2018-11-29,5.7861824
2018-11-30,2.2935007
2018-12-01,6.5212207
2018-12-02,4.077601
2018-12-03,3.7447283
2018-12-04,0.3127831
2018-12-05,8.97431
2018-12-06,1.4853905
2018-12-07,9.252998
2018-12-08,1.7580475
2018-12-09,1.882231
2018-12-10,0.14372073
2018-12-11,0.022151818
2018-12-12,0.17113993
2018-12-13,0.2516751
2018-12-14,0.41972598
2018-12-15,10.588954
2018-12-16,3.2022738
2018-12-17,0.6848234
2018-12-18,6.5574985
2018-12-19,4.4168744
2018-12-20,2.4616494
2018-12-21,7.9937215
2018-12-22,1.1686115
2018-12-23,7.352955
2018-12-24,0.42716467
2018-12-25,0.054637767
2018-12-26,0.09779916
2018-12-27,0.12107575
2018-12-28,0.2143101
2018-12-29,0.3907693
2018-12-30,0.28971112
2018-12-31,0.1766821
2019-01-01,0.15155572
2019-01-02,0.27939093
2019-01-03,0.12205089
2019-01-04,0.103731155
2019-01-05,0.056633547
2019-01-06,0.28854734
2019-01-07,0.3862788
2019-01-08,0.17711946
2019-01-09,0.33942866
2019-01-10,0.2289331
2019-01-11,0.3795394
2019-01-12,1.7960244
2019-01-13,0.18762416
2019-01-14,0.2852866
2019-01-15,0.08542197
2019-01-16,2.2150168
2019-01-17,2.2097154
2019-01-18,0.18226266
2019-01-19,1.833717
2019-01-20,0.16436397
2019-01-21,0.1703859
2019-01-22,6.321458
2019-01-23,0.9020456
2019-01-24,0.708325
2019-01-25,1.7583443
2019-01-26,2.5773942
2019-01-27,5.4242315
2019-01-28,1.3607184
2019-01-29,5.5463533
2019-01-30,0.5457232
2019-01-31,2.0537632
2019-02-01,3.8899486
2019-02-02,1.513873
2019-02-03,0.6210494
2019-02-04,6.5046124
2019-02-05,1.5183928
2019-02-06,4.8367343
2019-02-07,6.785343
2019-02-08,5.474169
2019-02-09,2.0941343
2019-02-10,7.482652
2019-02-11,0.2892247
2019-02-12,0.04362936
2019-02-13,0.003119221
2019-02-14,0.0
2019-02-15,0.0
2019-02-16,0.029923573
2019-02-17,0.050124668
2019-02-18,0.6342801
2019-02-19,0.15543579
2019-02-20,1.2426032
2019-02-21,0.44754866
2019-02-22,0.008122729
2019-02-23,0.0697259
2019-02-24,0.0037232502
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,1.7320216
2019-03-01,0.76675403
2019-03-02,1.0368011
2019-03-03,5.151152
2019-03-04,3.551508
2019-03-05,2.298241
2019-03-06,10.323325
2019-03-07,2.2947738
2019-03-08,2.383657
2019-03-09,1.3076183
2019-03-10,8.145665
2019-03-11,0.21025954
2019-03-12,9.163505
2019-03-13,0.38270015
2019-03-14,3.383508
2019-03-15,2.0068302
2019-03-16,7.3947134
2019-03-17,1.0697774
2019-03-18,1.1719531
2019-03-19,0.3583346
2019-03-20,0.17879814
2019-03-21,0.1463468
2019-03-22,0.13892272
2019-03-23,0.15612052
2019-03-24,0.03195687
2019-03-25,0.033855796
2019-03-26,0.0025084508
2019-03-27,0.009060083
2019-03-28,0.0027576904
2019-03-29,-4.4703484e-05
2019-03-30,0.089400135
2019-03-31,0.10408133
2019-04-01,0.01988631
2019-04-02,4.6475234
2019-04-03,1.6426858
2019-04-04,1.7511795
2019-04-05,0.014161159
2019-04-06,0.33695835
2019-04-07,2.375753
2019-04-08,0.91276234
2019-04-09,2.7603858
2019-04-10,0.69070554
2019-04-11,0.004969005
2019-04-12,0.31271702
2019-04-13,0.65711886
2019-04-14,0.35410553
2019-04-15,0.055016417
2019-04-16,0.32594198
2019-04-17,0.26967314
2019-04-18,0.0022169023
2019-04-19,0.0
2019-04-20,0.0
2019-04-21,0.0
2019-04-22,0.0052646333
2019-04-23,0.046720196
2019-04-24,1.9453001
2019-04-25,1.8964139
2019-04-26,1.0263696
2019-04-27,3.2567239
2019-04-28,1.4157473
2019-04-29,0.28547043
2019-04-30,0.010765734
2019-05-01,0.59868777
2019-05-02,2.951721
2019-05-03,2.1532748
2019-05-04,2.0162497
2019-05-05,0.50397825
2019-05-06,1.4997504
2019-05-07,1.1861039
2019-05-08,12.791552
2019-05-09,2.8502269
2019-05-10,1.5270735
2019-05-11,1.7793055
2019-05-12,0.09881998
2019-05-13,-4.4703484e-05
2019-05-14,-4.4703484e-05
2019-05-15,-4.4703484e-05
2019-05-16,0.0
2019-05-17,1.0169127
2019-05-18,1.1299462
2019-05-19,0.4927806
2019-05-20,0.64870626
2019-05-21,0.04043971
2019-05-22,0.04656799
2019-05-23,0.012897842
2019-05-24,0.09500866
2019-05-25,0.7983157
2019-05-26,3.4571986
2019-05-27,2.361649
2019-05-28,2.234709
2019-05-29,2.597704
2019-05-30,0.7932444
2019-05-31,0.5417522
2019-06-01,0.5119181
2019-06-02,1.4775821
2019-06-03,0.1496654
2019-06-04,14.3512535
2019-06-05,0.55617887
2019-06-06,0.5884294
2019-06-07,12.889884
2019-06-08,4.344863
2019-06-09,0.6538139
2019-06-10,16.64573
2019-06-11,13.934715
2019-06-12,10.233971
2019-06-13,6.8692827
2019-06-14,1.8444636
2019-06-15,1.3795296
2019-06-16,1.4042417
2019-06-17,0.31238395
2019-06-18,4.4472375
2019-06-19,2.6654441
2019-06-20,0.3498178
2019-06-21,0.1302648
2019-06-22,0.07518815
2019-06-23,0.9696646
2019-06-24,4.981039
2019-06-25,12.224707
2019-06-26,0.26921618
2019-06-27,0.0009301695
2019-06-28,0.0074020633
2019-06-29,0.093365446
2019-06-30,0.06026704
2019-07-01,0.12648974
2019-07-02,0.09243279
2019-07-03,0.07136228
2019-07-04,0.00024666745
2019-07-05,0.22750056
2019-07-06,1.6799481
2019-07-07,1.1516902
2019-07-08,0.15808482
2019-07-09,1.9373481
2019-07-10,1.3785377
